student_id,age,gender,department,semester,attendance_pct,assignment_score_avg,internal_marks_avg,semester_gpa,study_hours_per_week,participation_score,prev_semester_gpa,backlogs,financial_aid,performance_category
STU-2022-0161,19,Male,ME,4,84.37,75.24,87.18,10.0,24.2,6.26,9.95,0,False,High
STU-2022-0162,19,Female,ME,7,76.31,73.1,48.17,5.2,20.4,8.0,4.81,0,True,Medium
STU-2022-0163,22,Male,ME,3,61.02,58.38,41.96,6.22,13.5,5.84,6.11,2,False,Medium
STU-2022-0164,18,Male,ME,7,60.85,43.78,46.77,2.93,7.5,4.18,2.19,2,True,At Risk
STU-2022-0165,19,Male,ME,2,52.21,69.48,49.27,6.69,24.4,4.12,5.48,3,True,Medium
STU-2022-0166,19,Female,CS,8,46.57,38.42,40.73,6.5,1.0,3.58,6.23,3,False,At Risk
STU-2022-0167,23,Male,ME,7,89.97,75.04,79.02,8.18,27.6,7.44,7.65,0,True,High
STU-2022-0168,18,Female,MBA,7,95.1,88.9,69.35,8.13,26.8,10.0,7.77,0,False,High
STU-2022-0169,24,Female,MBA,1,33.38,55.56,32.61,3.12,10.5,4.38,2.66,3,True,At Risk
STU-2022-0170,22,Male,ECE,1,62.95,37.57,52.28,4.72,9.9,3.83,3.92,4,True,At Risk
STU-2022-0171,26,Female,CE,3,40.16,43.71,22.32,2.57,6.2,2.38,2.12,5,False,At Risk
STU-2022-0172,19,Male,ME,3,83.92,76.91,63.06,8.51,18.2,6.18,8.7,0,False,High
STU-2022-0173,20,Female,EE,8,82.88,61.97,81.08,7.33,22.3,7.83,7.74,0,False,High
STU-2022-0174,18,Female,EE,2,58.91,64.1,55.08,7.15,9.1,6.21,7.15,1,False,Medium
STU-2022-0175,21,Male,MBA,8,65.05,57.91,54.76,6.62,9.9,7.18,6.42,0,True,Medium
STU-2022-0176,23,Female,MBA,8,49.89,53.9,31.59,3.54,5.8,1.18,2.63,4,False,At Risk
STU-2022-0177,21,Female,MBA,3,88.12,77.17,78.12,7.79,10.0,7.34,8.22,0,False,High
STU-2022-0178,24,Male,ME,5,81.26,65.82,51.96,8.29,11.9,2.0,8.08,2,True,Medium
STU-2022-0179,20,Male,ECE,8,84.35,58.8,56.03,6.89,12.1,8.0,6.58,1,False,Medium
STU-2022-0180,19,Male,MBA,4,75.65,50.11,76.43,5.78,17.2,5.01,5.82,0,False,Medium
STU-2022-0181,26,Female,EE,2,37.01,53.46,44.12,4.28,9.6,2.79,4.24,4,False,At Risk
STU-2022-0182,27,Male,EE,1,77.41,78.97,88.38,8.03,23.0,8.68,7.81,0,False,High
STU-2022-0183,21,Female,CE,8,93.22,79.05,80.16,9.56,23.9,8.88,9.28,0,False,High
STU-2022-0184,25,Male,CS,5,65.34,60.24,76.61,6.52,15.2,3.61,6.07,0,True,Medium
STU-2022-0185,27,Female,CS,2,72.21,65.78,71.23,6.91,13.2,6.12,6.83,0,False,High
STU-2022-0186,19,Female,ECE,5,70.94,42.79,35.47,5.24,3.9,3.88,4.66,5,False,At Risk
STU-2022-0187,23,Male,EE,6,66.36,61.17,57.99,5.51,16.2,6.06,5.33,0,False,Medium
STU-2022-0188,26,Female,MBA,7,53.98,34.13,57.8,3.36,13.3,4.77,2.7,4,True,At Risk
STU-2022-0189,21,Male,CS,3,67.81,48.27,38.24,4.2,2.0,4.11,4.14,4,False,At Risk
STU-2022-0190,23,Male,CS,5,81.38,75.13,70.82,8.72,21.1,6.72,9.12,0,False,High
STU-2022-0191,22,Male,ME,1,84.45,42.84,71.26,6.28,16.4,6.49,6.26,0,False,High
STU-2022-0192,21,Female,ME,8,63.35,53.95,69.58,7.12,12.5,7.62,6.76,0,False,Medium
STU-2022-0193,19,Male,IT,8,68.34,66.44,60.11,7.07,20.3,4.95,6.68,1,True,Medium
STU-2022-0194,25,Male,CE,3,81.58,60.33,66.66,7.84,26.2,4.53,7.69,0,False,High
STU-2022-0195,26,Other,MBA,7,78.79,50.51,66.66,6.87,5.4,4.48,7.15,2,False,Medium
STU-2022-0196,26,Male,ME,7,77.15,73.22,87.38,9.42,26.9,7.6,9.17,0,False,High
STU-2022-0197,19,Female,CS,1,57.81,25.96,54.62,3.2,5.5,3.58,3.7,2,False,At Risk
STU-2022-0198,26,Male,ECE,8,75.0,40.71,44.64,4.0,6.7,4.16,2.94,1,True,Medium
STU-2022-0199,18,Female,CE,8,65.87,77.4,79.63,7.83,18.4,9.23,7.81,0,False,High
STU-2022-0200,20,Female,CS,1,76.55,60.19,40.52,6.84,12.5,6.37,7.04,1,False,Medium
STU-2022-0201,19,Female,ME,1,83.12,81.35,60.7,5.99,9.0,3.85,6.29,0,False,High
STU-2022-0202,26,Female,IT,6,56.85,59.54,53.86,6.09,15.1,4.75,5.39,3,True,Medium
STU-2022-0203,21,Female,MBA,7,67.87,64.6,50.36,5.73,15.7,5.43,5.55,0,True,Medium
STU-2022-0204,23,Male,CE,6,40.9,27.84,46.49,3.4,7.1,3.79,4.13,4,False,At Risk
STU-2022-0205,19,Male,ECE,6,71.17,63.86,61.97,5.85,21.5,7.37,6.13,1,False,Medium
STU-2022-0206,26,Male,ME,4,62.16,42.39,29.92,2.9,9.0,4.1,3.05,2,True,At Risk
STU-2022-0207,18,Male,CE,7,70.9,66.97,56.15,6.84,9.7,5.29,6.76,0,True,Medium
STU-2022-0208,21,Male,CS,3,73.9,77.68,72.9,7.15,9.1,6.04,7.17,0,True,High
STU-2022-0209,18,Male,IT,3,70.46,40.39,61.38,5.2,8.6,3.88,4.0,3,True,Medium
STU-2022-0210,18,Male,ME,6,86.65,66.99,73.28,7.78,27.4,7.0,8.19,0,True,High
STU-2022-0211,23,Male,CE,2,81.17,63.81,70.48,8.2,26.0,7.48,8.28,0,False,High
STU-2022-0212,19,Male,EE,6,68.24,70.56,69.58,6.33,20.3,5.34,6.44,1,True,Medium
STU-2022-0213,26,Male,MBA,2,89.39,75.96,75.0,8.43,22.4,4.84,8.36,0,False,High
STU-2022-0214,20,Male,CS,6,78.19,73.92,59.41,8.05,21.8,7.06,7.5,0,False,High
STU-2022-0215,21,Male,MBA,5,61.71,55.02,27.05,4.25,4.2,1.31,3.65,3,True,At Risk
STU-2022-0216,24,Male,EE,7,46.3,45.35,47.34,2.11,12.7,5.21,2.0,3,True,At Risk
STU-2022-0217,27,Male,ECE,2,89.39,95.75,78.01,7.56,20.3,6.55,7.69,0,False,High
STU-2022-0218,22,Female,ME,7,78.55,82.3,86.67,8.49,26.3,8.62,8.43,0,False,High
STU-2022-0219,27,Male,CS,6,75.72,65.89,59.47,7.48,19.5,4.56,6.75,2,False,Medium
STU-2022-0220,20,Male,EE,6,47.56,33.24,33.92,4.17,4.6,4.06,3.3,4,False,At Risk
STU-2022-0221,21,Female,IT,2,69.99,82.96,70.92,7.37,18.9,7.28,7.19,0,False,High
STU-2022-0222,27,Male,ME,6,67.36,76.39,75.95,8.62,25.3,6.62,8.64,0,True,High
STU-2022-0223,27,Male,IT,6,76.1,53.39,74.03,7.06,11.8,4.78,6.98,2,False,Medium
STU-2022-0224,24,Female,IT,8,88.71,90.71,78.05,7.68,13.5,6.53,8.13,0,False,High
STU-2022-0225,26,Male,ME,2,74.02,78.25,77.78,7.86,27.8,6.99,8.2,0,False,High
STU-2022-0226,23,Male,ME,6,57.16,59.57,43.37,2.44,5.8,4.76,2.18,0,False,Medium
STU-2022-0227,22,Female,CE,8,53.13,37.53,29.9,2.24,8.4,0.85,2.0,2,False,At Risk
STU-2022-0228,25,Male,MBA,5,82.89,79.87,72.94,8.61,26.5,8.22,8.93,0,False,High
STU-2022-0229,20,Female,IT,5,64.58,36.83,20.26,4.84,2.2,4.24,5.01,0,True,Medium
STU-2022-0230,27,Female,IT,5,78.3,63.94,53.97,7.21,19.8,5.85,6.58,1,False,Medium
STU-2022-0231,24,Female,EE,2,78.26,70.85,54.08,6.6,23.8,4.74,5.98,2,False,Medium
STU-2022-0232,22,Female,MBA,1,96.85,78.76,70.01,8.73,25.0,5.9,8.61,0,False,High
STU-2022-0233,19,Female,IT,6,56.28,59.97,52.16,4.7,3.1,6.0,3.65,3,True,At Risk
STU-2022-0234,23,Female,EE,2,46.25,63.54,51.07,4.41,10.0,4.42,3.37,3,False,At Risk
STU-2022-0235,25,Male,IT,7,87.03,84.56,75.73,8.52,19.4,7.26,8.46,0,True,High
STU-2022-0236,27,Male,CE,2,41.04,40.93,39.1,4.14,8.9,4.51,3.31,2,True,At Risk
STU-2022-0237,25,Male,CE,2,67.44,63.81,65.95,6.05,11.9,4.11,5.84,0,True,Medium
STU-2022-0238,22,Male,ECE,8,63.52,60.39,70.36,6.47,14.9,4.01,6.66,0,False,Medium
STU-2022-0239,23,Female,ECE,3,86.39,69.69,76.13,7.95,32.5,7.03,8.51,0,False,High
STU-2022-0240,26,Female,ECE,8,77.87,57.08,63.45,6.71,7.7,4.97,7.58,1,False,Medium
STU-2022-0241,21,Other,CS,5,34.5,47.49,31.1,3.48,8.8,2.55,3.18,5,False,At Risk
STU-2022-0242,25,Male,EE,6,83.47,75.56,81.91,8.56,30.1,10.0,9.24,0,True,High
STU-2022-0243,21,Male,MBA,2,65.63,66.58,40.0,6.03,13.8,4.14,5.46,0,False,Medium
STU-2022-0244,24,Male,CE,1,65.32,62.8,76.12,6.79,14.8,7.69,6.24,0,False,Medium
STU-2022-0245,22,Female,MBA,1,72.21,70.87,53.49,6.5,14.3,4.73,6.78,0,False,Medium
STU-2022-0246,20,Female,CS,8,83.25,79.99,68.85,7.63,19.3,8.97,7.48,0,True,High
STU-2022-0247,24,Male,CS,1,90.94,78.91,70.88,8.08,29.7,7.67,7.87,0,True,High
STU-2022-0248,20,Male,ME,7,59.95,50.28,71.47,6.77,16.7,4.06,6.17,3,True,Medium
STU-2022-0249,21,Female,CS,1,65.36,70.82,55.71,5.84,14.1,5.84,5.09,0,False,Medium
STU-2022-0250,25,Female,MBA,6,83.26,67.49,82.83,7.81,17.6,7.27,8.25,0,False,High
STU-2022-0251,27,Female,MBA,7,76.65,69.5,74.84,7.54,22.7,7.59,7.84,0,False,High
STU-2022-0252,22,Female,CS,4,74.91,69.8,43.75,5.53,12.8,5.68,4.93,2,True,Medium
